Model,URL,Price,Ratings
"Nokia C20 Plus Smartphone (Ocean Blue, 32 GB)",https://www.flipkart.com/nokia-c20-plus-smartphone-ocean-blue-32-gb/p/itmdd59cd914edb5?pid=MOBG5ME6ZBKSNUUR&lid=LSTMOBG5ME6ZBKSNUUR6QR9C0&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBG5ME6ZBKSNUUR.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹7,998",100 Ratings 
KARBONN K24 Plus Pro,https://www.flipkart.com/karbonn-k24-plus-pro/p/itmff8a97nh9q3ac?pid=MOBFF8Y7ZF7Z7YEF&lid=LSTMOBFF8Y7ZF7Z7YEFBEGNSI&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBFF8Y7ZF7Z7YEF.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹1,049","2,043 Ratings "
"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",https://www.flipkart.com/iair-basic-feature-dual-sim-mobile-phone-2800mah-battery-2-4-inch-display-screen-0-8-mp-camera-smart-look-fps7plus-sky-blue-twin-shade/p/itm43149ff68fe26?pid=MOBG2CRYYFG2XNME&lid=LSTMOBG2CRYYFG2XNMEA2I80X&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBG2CRYYFG2XNME.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹1,289",17 Ratings 
"Nokia C20 Plus Smartphone (Dark Grey, 32 GB)",https://www.flipkart.com/nokia-c20-plus-smartphone-dark-grey-32-gb/p/itma90b75dc1c2dc?pid=MOBG5ME6SBZVTAGH&lid=LSTMOBG5ME6SBZVTAGH6DEINH&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBG5ME6SBZVTAGH.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹7,999",100 Ratings 
"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",https://www.flipkart.com/iair-basic-feature-dual-sim-mobile-phone-2800mah-battery-2-4-inch-display-screen-0-8-mp-camera-smart-look-fps7plus-red-twin-shade/p/itm6c74d5c8be070?pid=MOBG2CRYS9QDCMF4&lid=LSTMOBG2CRYS9QDCMF4RB7LZ1&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBG2CRYS9QDCMF4.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹1,289",12 Ratings 
Infocus Vibe plus,https://www.flipkart.com/infocus-vibe-plus/p/itmd44dcff055b8e?pid=MOBFT8PBZQD6GEFN&lid=LSTMOBFT8PBZQD6GEFNJUJ1TZ&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBFT8PBZQD6GEFN.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,₹899,99 Ratings 
Kechaoda K116 Plus,https://www.flipkart.com/kechaoda-k116-plus/p/itmey3zjzttdrcsr?pid=MOBEXRDA4QFMJ3HG&lid=LSTMOBEXRDA4QFMJ3HGIFHGGO&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBEXRDA4QFMJ3HG.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹1,098","8,817 Ratings "
Salora KT24+ Vishaal,https://www.flipkart.com/salora-kt24-vishaal/p/itmfyjebqxggmkqf?pid=MOBFYGBJWF94QV8F&lid=LSTMOBFYGBJWF94QV8FXOAAKP&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBFYGBJWF94QV8F.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹1,699",56 Ratings 
Kechaoda K66 Plus,https://www.flipkart.com/kechaoda-k66-plus/p/itmeyuzdv2p2p8fb?pid=MOBG4H6J6HHQBKTZ&lid=LSTMOBG4H6J6HHQBKTZBNW9UH&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBG4H6J6HHQBKTZ.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,₹998,"22,660 Ratings "
I-Plus I2,https://www.flipkart.com/i-plus-i2/p/itmd7fac47d0c2c8?pid=MOBG5SNW9MJJUYJF&lid=LSTMOBG5SNW9MJJUYJFEHIXUT&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=SEARCH&iid=a34259e8-7e2c-4246-8a82-269fef905308.MOBG5SNW9MJJUYJF.SEARCH&ppt=hp&ppn=homepage&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,₹749,11 Ratings 
